Model,DPO2012
Firmware Version,1.39

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,4,,,
Sample Interval,0.00768049,,,
Filter Frequency,14,,,
Record Length,5200,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,1,,1,
Vertical Units,V,,V,
Vertical Offset,0,,0,
Vertical Scale,0.2,,5,
Label,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect
-6.7588e+00,-1.136,-1.144,-24.6,-24.8
-6.7512e+00,-1.136,-1.128,-24.6,-24.4
-6.7435e+00,-1.136,-1.144,-24.6,-24.8
-6.7358e+00,-1.136,-1.128,-24.6,-24.4
-6.7281e+00,-1.136,-1.152,-24.6,-24.8
-6.7204e+00,-1.136,-1.128,-24.6,-24.4
-6.7127e+00,-1.136,-1.144,-24.6,-24.8
-6.7051e+00,-1.136,-1.128,-24.6,-24.4
-6.6974e+00,-1.136,-1.152,-24.6,-24.8
-6.6897e+00,-1.144,-1.128,-24.6,-24.4
-6.6820e+00,-1.144,-1.152,-24.6,-24.8
-6.6743e+00,-1.144,-1.128,-24.6,-24.4
-6.6667e+00,-1.144,-1.152,-24.6,-24.8
-6.6590e+00,-1.144,-1.136,-24.6,-24.4
-6.6513e+00,-1.144,-1.152,-24.6,-24.8
-6.6436e+00,-1.144,-1.136,-24.6,-24.4
-6.6359e+00,-1.144,-1.152,-24.6,-24.8
-6.6283e+00,-1.144,-1.136,-24.6,-24.4
-6.6206e+00,-1.144,-1.152,-24.6,-24.8
-6.6129e+00,-1.144,-1.136,-24.6,-24.4
-6.6052e+00,-1.144,-1.16,-24.6,-24.8
-6.5975e+00,-1.152,-1.136,-24.6,-24.4
-6.5899e+00,-1.152,-1.16,-24.6,-24.8
-6.5822e+00,-1.152,-1.136,-24.6,-24.4
-6.5745e+00,-1.152,-1.16,-24.6,-24.8
-6.5668e+00,-1.152,-1.136,-24.6,-24.4
-6.5591e+00,-1.152,-1.16,-24.6,-24.8
-6.5515e+00,-1.152,-1.144,-24.6,-24.4
-6.5438e+00,-1.152,-1.16,-24.6,-24.8
-6.5361e+00,-1.152,-1.144,-24.6,-24.4
-6.5284e+00,-1.152,-1.168,-24.6,-24.8
-6.5207e+00,-1.152,-1.144,-24.6,-24.4
-6.5131e+00,-1.16,-1.168,-24.6,-24.8
-6.5054e+00,-1.16,-1.144,-24.6,-24.4
-6.4977e+00,-1.16,-1.168,-24.6,-25
-6.4900e+00,-1.16,-1.152,-24.6,-24.4
-6.4823e+00,-1.16,-1.168,-24.6,-25
-6.4747e+00,-1.16,-1.152,-24.8,-24.4
-6.4670e+00,-1.16,-1.168,-24.8,-25
-6.4593e+00,-1.16,-1.152,-24.8,-24.4
-6.4516e+00,-1.16,-1.176,-24.8,-25
-6.4439e+00,-1.16,-1.152,-24.8,-24.4
-6.4363e+00,-1.168,-1.176,-24.8,-25
-6.4286e+00,-1.168,-1.152,-24.8,-24.4
-6.4209e+00,-1.168,-1.176,-24.8,-25
-6.4132e+00,-1.168,-1.152,-24.8,-24.4
-6.4055e+00,-1.168,-1.176,-24.8,-25
-6.3978e+00,-1.168,-1.16,-24.8,-24.4
-6.3902e+00,-1.168,-1.176,-24.8,-25
-6.3825e+00,-1.168,-1.16,-24.8,-24.6
-6.3748e+00,-1.168,-1.176,-24.8,-25
-6.3671e+00,-1.168,-1.16,-24.8,-24.6
-6.3594e+00,-1.176,-1.184,-24.8,-25
-6.3518e+00,-1.176,-1.16,-24.8,-24.6
-6.3441e+00,-1.176,-1.184,-24.8,-25
-6.3364e+00,-1.176,-1.168,-24.8,-24.6
-6.3287e+00,-1.176,-1.184,-24.8,-25
-6.3210e+00,-1.176,-1.168,-24.8,-24.6
-6.3134e+00,-1.176,-1.184,-24.8,-25
-6.3057e+00,-1.176,-1.168,-24.8,-24.6
-6.2980e+00,-1.176,-1.184,-24.8,-25
-6.2903e+00,-1.176,-1.16,-24.8,-24.6
-6.2826e+00,-1.176,-1.192,-24.8,-25
-6.2750e+00,-1.176,-1.168,-24.8,-24.6
-6.2673e+00,-1.184,-1.192,-24.8,-25
-6.2596e+00,-1.184,-1.168,-24.8,-24.6
-6.2519e+00,-1.184,-1.192,-24.8,-25
-6.2442e+00,-1.184,-1.176,-24.8,-24.6
-6.2366e+00,-1.184,-1.192,-24.8,-25
-6.2289e+00,-1.184,-1.176,-24.8,-24.6
-6.2212e+00,-1.184,-1.192,-24.8,-25
-6.2135e+00,-1.184,-1.176,-24.8,-24.6
-6.2058e+00,-1.184,-1.2,-24.8,-25
-6.1982e+00,-1.192,-1.176,-24.8,-24.6
-6.1905e+00,-1.192,-1.2,-24.8,-25
-6.1828e+00,-1.192,-1.176,-24.8,-24.6
-6.1751e+00,-1.192,-1.2,-24.8,-25
-6.1674e+00,-1.192,-1.184,-24.8,-24.6
-6.1598e+00,-1.192,-1.2,-24.8,-25.2
-6.1521e+00,-1.192,-1.184,-24.8,-24.6
-6.1444e+00,-1.192,-1.208,-24.8,-25.2
-6.1367e+00,-1.192,-1.184,-24.8,-24.6
-6.1290e+00,-1.192,-1.208,-24.8,-25.2
-6.1214e+00,-1.192,-1.184,-24.8,-24.6
-6.1137e+00,-1.2,-1.208,-24.8,-25.2
-6.1060e+00,-1.2,-1.184,-24.8,-24.6
-6.0983e+00,-1.2,-1.208,-24.8,-25.2
-6.0906e+00,-1.2,-1.184,-24.8,-24.6
-6.0829e+00,-1.2,-1.208,-25,-25.2
-6.0753e+00,-1.2,-1.192,-25,-24.6
-6.0676e+00,-1.2,-1.208,-25,-25.2
-6.0599e+00,-1.2,-1.192,-25,-24.6
-6.0522e+00,-1.2,-1.208,-25,-25.2
-6.0445e+00,-1.2,-1.192,-25,-24.6
-6.0369e+00,-1.2,-1.216,-25,-25.2
-6.0292e+00,-1.208,-1.192,-25,-24.6
-6.0215e+00,-1.208,-1.216,-25,-25.2
-6.0138e+00,-1.208,-1.2,-25,-24.8
-6.0061e+00,-1.208,-1.216,-25,-25.2
-5.9985e+00,-1.208,-1.2,-25,-24.8
-5.9908e+00,-1.208,-1.216,-25,-25.2
-5.9831e+00,-1.208,-1.2,-25,-24.8
-5.9754e+00,-1.208,-1.216,-25,-25.2
-5.9677e+00,-1.208,-1.2,-25,-24.8
-5.9601e+00,-1.208,-1.224,-25,-25.2
-5.9524e+00,-1.216,-1.2,-25,-24.8
-5.9447e+00,-1.216,-1.224,-25,-25.2
-5.9370e+00,-1.216,-1.2,-25,-24.8
-5.9293e+00,-1.216,-1.224,-25,-25.2
-5.9217e+00,-1.216,-1.2,-25,-24.8
-5.9140e+00,-1.216,-1.224,-25,-25.2
-5.9063e+00,-1.216,-1.208,-25,-24.8
-5.8986e+00,-1.216,-1.232,-25,-25.2
-5.8909e+00,-1.216,-1.208,-25,-24.8
-5.8833e+00,-1.216,-1.232,-25,-25.2
-5.8756e+00,-1.216,-1.208,-25,-24.8
-5.8679e+00,-1.224,-1.232,-25,-25.2
-5.8602e+00,-1.224,-1.208,-25,-24.8
-5.8525e+00,-1.224,-1.232,-25,-25.2
-5.8449e+00,-1.224,-1.216,-25,-24.8
-5.8372e+00,-1.224,-1.232,-25,-25.2
-5.8295e+00,-1.224,-1.216,-25,-24.8
-5.8218e+00,-1.224,-1.232,-25,-25.2
-5.8141e+00,-1.224,-1.208,-25,-24.8
-5.8065e+00,-1.224,-1.24,-25,-25.2
-5.7988e+00,-1.232,-1.216,-25,-24.8
-5.7911e+00,-1.232,-1.24,-25,-25.2
-5.7834e+00,-1.232,-1.216,-25,-24.8
-5.7757e+00,-1.232,-1.24,-25,-25.2
-5.7680e+00,-1.232,-1.216,-25,-24.8
-5.7604e+00,-1.232,-1.24,-25,-25.4
-5.7527e+00,-1.232,-1.224,-25,-24.8
-5.7450e+00,-1.232,-1.248,-25,-25.4
-5.7373e+00,-1.232,-1.224,-25,-24.8
-5.7296e+00,-1.24,-1.248,-25,-25.4
-5.7220e+00,-1.24,-1.224,-25,-24.8
-5.7143e+00,-1.24,-1.248,-25.2,-25.4
-5.7066e+00,-1.24,-1.224,-25.2,-24.8
-5.6989e+00,-1.24,-1.248,-25.2,-25.4
-5.6912e+00,-1.24,-1.232,-25.2,-24.8
-5.6836e+00,-1.24,-1.248,-25.2,-25.4
-5.6759e+00,-1.24,-1.232,-25.2,-24.8
-5.6682e+00,-1.24,-1.248,-25.2,-25.4
-5.6605e+00,-1.24,-1.232,-25.2,-25
-5.6528e+00,-1.24,-1.256,-25.2,-25.4
-5.6452e+00,-1.248,-1.232,-25.2,-25
-5.6375e+00,-1.248,-1.256,-25.2,-25.4
-5.6298e+00,-1.248,-1.232,-25.2,-25
-5.6221e+00,-1.248,-1.256,-25.2,-25.4
-5.6144e+00,-1.248,-1.232,-25.2,-25
-5.6068e+00,-1.248,-1.256,-25.2,-25.4
-5.5991e+00,-1.248,-1.24,-25.2,-25
-5.5914e+00,-1.248,-1.264,-25.2,-25.4
-5.5837e+00,-1.248,-1.24,-25.2,-25
-5.5760e+00,-1.248,-1.264,-25.2,-25.4
-5.5684e+00,-1.248,-1.24,-25.2,-25
-5.5607e+00,-1.248,-1.264,-25.2,-25.4
-5.5530e+00,-1.248,-1.24,-25.2,-25
-5.5453e+00,-1.256,-1.264,-25.2,-25.4
-5.5376e+00,-1.256,-1.24,-25.2,-25
-5.5300e+00,-1.256,-1.264,-25.2,-25.4
-5.5223e+00,-1.256,-1.24,-25.2,-25
-5.5146e+00,-1.256,-1.264,-25.2,-25.4
-5.5069e+00,-1.256,-1.248,-25.2,-25
-5.4992e+00,-1.256,-1.264,-25.2,-25.4
-5.4916e+00,-1.256,-1.24,-25.2,-25
-5.4839e+00,-1.256,-1.272,-25.2,-25.4
-5.4762e+00,-1.256,-1.248,-25.2,-25
-5.4685e+00,-1.256,-1.272,-25.2,-25.4
-5.4608e+00,-1.256,-1.248,-25.2,-25
-5.4531e+00,-1.264,-1.272,-25.2,-25.4
-5.4455e+00,-1.264,-1.248,-25.2,-25
-5.4378e+00,-1.264,-1.272,-25.2,-25.4
-5.4301e+00,-1.264,-1.248,-25.2,-25
-5.4224e+00,-1.264,-1.272,-25.2,-25.4
-5.4147e+00,-1.264,-1.248,-25.2,-25
-5.4071e+00,-1.264,-1.272,-25.2,-25.4
-5.3994e+00,-1.264,-1.256,-25.2,-25
-5.3917e+00,-1.264,-1.28,-25.2,-25.4
-5.3840e+00,-1.264,-1.256,-25.2,-25
-5.3763e+00,-1.264,-1.272,-25.2,-25.6
-5.3687e+00,-1.264,-1.256,-25.2,-25
-5.3610e+00,-1.264,-1.28,-25.2,-25.6
-5.3533e+00,-1.264,-1.256,-25.2,-25
-5.3456e+00,-1.264,-1.28,-25.4,-25.6
-5.3379e+00,-1.264,-1.256,-25.4,-25
-5.3303e+00,-1.272,-1.28,-25.4,-25.6
-5.3226e+00,-1.272,-1.256,-25.4,-25
-5.3149e+00,-1.272,-1.28,-25.4,-25.6
-5.3072e+00,-1.272,-1.256,-25.4,-25.2
-5.2995e+00,-1.272,-1.28,-25.4,-25.6
-5.2919e+00,-1.272,-1.256,-25.4,-25
-5.2842e+00,-1.272,-1.28,-25.4,-25.6
-5.2765e+00,-1.272,-1.264,-25.4,-25
-5.2688e+00,-1.272,-1.28,-25.4,-25.6
-5.2611e+00,-1.272,-1.264,-25.4,-25.2
-5.2535e+00,-1.272,-1.28,-25.4,-25.6
-5.2458e+00,-1.272,-1.264,-25.4,-25.2
-5.2381e+00,-1.272,-1.288,-25.4,-25.6
-5.2304e+00,-1.272,-1.264,-25.4,-25.2
-5.2227e+00,-1.272,-1.288,-25.4,-25.6
-5.2151e+00,-1.272,-1.264,-25.4,-25.2
-5.2074e+00,-1.28,-1.288,-25.4,-25.6
-5.1997e+00,-1.28,-1.264,-25.4,-25.2
-5.1920e+00,-1.28,-1.288,-25.4,-25.6
-5.1843e+00,-1.28,-1.264,-25.4,-25.2
-5.1767e+00,-1.28,-1.288,-25.4,-25.6
-5.1690e+00,-1.28,-1.264,-25.4,-25.2
-5.1613e+00,-1.28,-1.296,-25.4,-25.6
-5.1536e+00,-1.28,-1.264,-25.4,-25.2
-5.1459e+00,-1.28,-1.288,-25.4,-25.6
-5.1382e+00,-1.28,-1.272,-25.4,-25.2
-5.1306e+00,-1.28,-1.288,-25.4,-25.6
-5.1229e+00,-1.28,-1.264,-25.4,-25.2
-5.1152e+00,-1.28,-1.296,-25.4,-25.6
-5.1075e+00,-1.28,-1.272,-25.4,-25.2
-5.0998e+00,-1.28,-1.296,-25.4,-25.6
-5.0922e+00,-1.28,-1.272,-25.4,-25.2
-5.0845e+00,-1.28,-1.296,-25.4,-25.6
-5.0768e+00,-1.28,-1.272,-25.4,-25.2
-5.0691e+00,-1.288,-1.296,-25.4,-25.6
-5.0614e+00,-1.288,-1.272,-25.4,-25.2
-5.0538e+00,-1.288,-1.296,-25.4,-25.6
-5.0461e+00,-1.288,-1.272,-25.4,-25.2
-5.0384e+00,-1.288,-1.296,-25.4,-25.8
-5.0307e+00,-1.288,-1.272,-25.4,-25.2
-5.0230e+00,-1.288,-1.296,-25.4,-25.6
-5.0154e+00,-1.288,-1.272,-25.4,-25.2
-5.0077e+00,-1.288,-1.296,-25.4,-25.8
-5.0000e+00,-1.288,-1.272,-25.4,-25.2
-4.9923e+00,-1.288,-1.296,-25.4,-25.8
-4.9846e+00,-1.288,-1.28,-25.4,-25.2
-4.9770e+00,-1.288,-1.304,-25.4,-25.8
-4.9693e+00,-1.288,-1.28,-25.4,-25.2
-4.9616e+00,-1.288,-1.304,-25.4,-25.8
-4.9539e+00,-1.288,-1.28,-25.6,-25.2
-4.9462e+00,-1.288,-1.304,-25.6,-25.8
-4.9386e+00,-1.288,-1.28,-25.6,-25.2
-4.9309e+00,-1.288,-1.304,-25.6,-25.8
-4.9232e+00,-1.288,-1.28,-25.6,-25.2
-4.9155e+00,-1.296,-1.304,-25.6,-25.8
-4.9078e+00,-1.296,-1.28,-25.6,-25.4
-4.9002e+00,-1.296,-1.304,-25.6,-25.8
-4.8925e+00,-1.296,-1.28,-25.6,-25.4
-4.8848e+00,-1.296,-1.304,-25.6,-25.8
-4.8771e+00,-1.296,-1.28,-25.6,-25.4
-4.8694e+00,-1.296,-1.304,-25.6,-25.8
-4.8618e+00,-1.296,-1.288,-25.6,-25.4
-4.8541e+00,-1.296,-1.304,-25.6,-25.8
-4.8464e+00,-1.296,-1.28,-25.6,-25.4
-4.8387e+00,-1.296,-1.312,-25.6,-25.8
-4.8310e+00,-1.296,-1.288,-25.6,-25.4
-4.8233e+00,-1.296,-1.304,-25.6,-25.8
-4.8157e+00,-1.296,-1.288,-25.6,-25.4
-4.8080e+00,-1.296,-1.312,-25.6,-25.8
-4.8003e+00,-1.296,-1.288,-25.6,-25.4
-4.7926e+00,-1.296,-1.312,-25.6,-25.8
-4.7849e+00,-1.296,-1.288,-25.6,-25.4
-4.7773e+00,-1.304,-1.312,-25.6,-25.8
-4.7696e+00,-1.304,-1.288,-25.6,-25.4
-4.7619e+00,-1.304,-1.312,-25.6,-25.8
-4.7542e+00,-1.304,-1.288,-25.6,-25.4
-4.7465e+00,-1.304,-1.312,-25.6,-25.8
-4.7389e+00,-1.304,-1.288,-25.6,-25.4
-4.7312e+00,-1.304,-1.312,-25.6,-25.8
-4.7235e+00,-1.304,-1.288,-25.6,-25.4
-4.7158e+00,-1.304,-1.312,-25.6,-25.8
-4.7081e+00,-1.304,-1.296,-25.6,-25.4
-4.7005e+00,-1.304,-1.312,-25.6,-25.8
-4.6928e+00,-1.304,-1.288,-25.6,-25.4
-4.6851e+00,-1.304,-1.32,-25.6,-25.8
-4.6774e+00,-1.304,-1.296,-25.6,-25.4
-4.6697e+00,-1.304,-1.32,-25.6,-25.8
-4.6621e+00,-1.304,-1.296,-25.6,-25.4
-4.6544e+00,-1.304,-1.312,-25.6,-25.8
-4.6467e+00,-1.304,-1.296,-25.6,-25.4
-4.6390e+00,-1.304,-1.32,-25.6,-25.8
-4.6313e+00,-1.304,-1.296,-25.6,-25.4
-4.6237e+00,-1.304,-1.32,-25.6,-25.8
-4.6160e+00,-1.304,-1.296,-25.6,-25.4
-4.6083e+00,-1.304,-1.32,-25.8,-25.8
-4.6006e+00,-1.312,-1.296,-25.8,-25.4
-4.5929e+00,-1.312,-1.32,-25.8,-26
-4.5853e+00,-1.312,-1.296,-25.8,-25.4
-4.5776e+00,-1.312,-1.32,-25.8,-26
-4.5699e+00,-1.312,-1.296,-25.8,-25.4
-4.5622e+00,-1.312,-1.32,-25.8,-26
-4.5545e+00,-1.312,-1.296,-25.8,-25.6
-4.5469e+00,-1.312,-1.32,-25.8,-26
-4.5392e+00,-1.312,-1.296,-25.8,-25.4
-4.5315e+00,-1.312,-1.32,-25.8,-26
-4.5238e+00,-1.312,-1.296,-25.8,-25.6
-4.5161e+00,-1.312,-1.32,-25.8,-26
-4.5084e+00,-1.312,-1.304,-25.8,-25.6
-4.5008e+00,-1.312,-1.32,-25.8,-26
-4.4931e+00,-1.312,-1.296,-25.8,-25.6
-4.4854e+00,-1.312,-1.32,-25.8,-26
-4.4777e+00,-1.312,-1.304,-25.8,-25.6
-4.4700e+00,-1.312,-1.32,-25.8,-26
-4.4624e+00,-1.312,-1.304,-25.8,-25.6
-4.4547e+00,-1.312,-1.32,-25.8,-26
-4.4470e+00,-1.312,-1.304,-25.8,-25.6
-4.4393e+00,-1.312,-1.32,-25.8,-26
-4.4316e+00,-1.312,-1.304,-25.8,-25.6
-4.4240e+00,-1.312,-1.328,-25.8,-26
-4.4163e+00,-1.312,-1.304,-25.8,-25.6
-4.4086e+00,-1.312,-1.328,-25.8,-26
-4.4009e+00,-1.312,-1.304,-25.8,-25.6
-4.3932e+00,-1.312,-1.328,-25.8,-26
-4.3856e+00,-1.312,-1.304,-25.8,-25.6
-4.3779e+00,-1.312,-1.328,-25.8,-26
-4.3702e+00,-1.312,-1.304,-25.8,-25.6
-4.3625e+00,-1.312,-1.328,-25.8,-26
-4.3548e+00,-1.312,-1.304,-25.8,-25.6
-4.3472e+00,-1.32,-1.328,-25.8,-26
-4.3395e+00,-1.32,-1.304,-25.8,-25.6
-4.3318e+00,-1.32,-1.328,-25.8,-26
-4.3241e+00,-1.32,-1.304,-25.8,-25.6
-4.3164e+00,-1.32,-1.328,-25.8,-26
-4.3088e+00,-1.32,-1.304,-25.8,-25.6
-4.3011e+00,-1.32,-1.328,-25.8,-26
-4.2934e+00,-1.32,-1.304,-25.8,-25.6
-4.2857e+00,-1.32,-1.328,-25.8,-26
-4.2780e+00,-1.32,-1.304,-25.8,-25.6
-4.2704e+00,-1.32,-1.328,-25.8,-26
-4.2627e+00,-1.32,-1.304,-25.8,-25.6
-4.2550e+00,-1.32,-1.328,-25.8,-26
-4.2473e+00,-1.32,-1.304,-25.8,-25.6
-4.2396e+00,-1.32,-1.328,-25.8,-26
-4.2320e+00,-1.32,-1.304,-25.8,-25.6
-4.2243e+00,-1.32,-1.328,-25.8,-26.2
-4.2166e+00,-1.32,-1.304,-25.8,-25.6
-4.2089e+00,-1.32,-1.328,-25.8,-26.2
-4.2012e+00,-1.32,-1.304,-26,-25.6
-4.1935e+00,-1.32,-1.336,-26,-26.2
-4.1859e+00,-1.32,-1.304,-26,-25.6
-4.1782e+00,-1.32,-1.328,-26,-26.2
-4.1705e+00,-1.32,-1.304,-26,-25.6
-4.1628e+00,-1.32,-1.328,-26,-26.2
-4.1551e+00,-1.32,-1.312,-26,-25.8
-4.1475e+00,-1.32,-1.328,-26,-26.2
-4.1398e+00,-1.32,-1.304,-26,-25.8
-4.1321e+00,-1.32,-1.328,-26,-26.2
-4.1244e+00,-1.32,-1.312,-26,-25.8
-4.1167e+00,-1.32,-1.328,-26,-26.2
-4.1091e+00,-1.32,-1.312,-26,-25.8
-4.1014e+00,-1.32,-1.328,-26,-26.2
-4.0937e+00,-1.32,-1.312,-26,-25.8
-4.0860e+00,-1.32,-1.328,-26,-26.2
-4.0783e+00,-1.32,-1.312,-26,-25.8
-4.0707e+00,-1.32,-1.328,-26,-26.2
-4.0630e+00,-1.32,-1.304,-26,-25.8
-4.0553e+00,-1.32,-1.328,-26,-26.2
-4.0476e+00,-1.32,-1.304,-26,-25.8
-4.0399e+00,-1.32,-1.336,-26,-26.2
-4.0323e+00,-1.32,-1.312,-26,-25.8
-4.0246e+00,-1.32,-1.328,-26,-26.2
-4.0169e+00,-1.32,-1.304,-26,-25.8
-4.0092e+00,-1.32,-1.328,-26,-26.2
-4.0015e+00,-1.32,-1.304,-26,-25.8
-3.9939e+00,-1.32,-1.328,-26,-26.2
-3.9862e+00,-1.32,-1.312,-26,-25.8
-3.9785e+00,-1.32,-1.328,-26,-26.2
-3.9708e+00,-1.32,-1.312,-26,-25.8
-3.9631e+00,-1.32,-1.328,-26,-26.2
-3.9555e+00,-1.32,-1.312,-26,-25.8
-3.9478e+00,-1.32,-1.328,-26,-26.2
-3.9401e+00,-1.32,-1.312,-26,-25.8
-3.9324e+00,-1.32,-1.328,-26,-26.2
-3.9247e+00,-1.32,-1.312,-26,-25.8
-3.9171e+00,-1.32,-1.328,-26,-26.2
-3.9094e+00,-1.32,-1.312,-26,-25.8
-3.9017e+00,-1.32,-1.328,-26,-26.2
-3.8940e+00,-1.32,-1.304,-26,-25.8
-3.8863e+00,-1.32,-1.336,-26,-26.2
-3.8786e+00,-1.32,-1.312,-26,-25.8
-3.8710e+00,-1.32,-1.336,-26,-26.2
-3.8633e+00,-1.32,-1.312,-26,-25.8
-3.8556e+00,-1.32,-1.328,-26,-26.2
-3.8479e+00,-1.32,-1.312,-26.2,-25.8
-3.8402e+00,-1.32,-1.336,-26.2,-26.4
-3.8326e+00,-1.32,-1.312,-26.2,-25.8
-3.8249e+00,-1.32,-1.328,-26.2,-26.4
-3.8172e+00,-1.32,-1.312,-26.2,-25.8
-3.8095e+00,-1.32,-1.336,-26.2,-26.4
-3.8018e+00,-1.32,-1.312,-26.2,-25.8
-3.7942e+00,-1.32,-1.336,-26.2,-26.4
-3.7865e+00,-1.32,-1.312,-26.2,-26
-3.7788e+00,-1.32,-1.336,-26.2,-26.4
-3.7711e+00,-1.32,-1.312,-26.2,-26
-3.7634e+00,-1.32,-1.336,-26.2,-26.4
-3.7558e+00,-1.32,-1.312,-26.2,-26
-3.7481e+00,-1.32,-1.336,-26.2,-26.4
-3.7404e+00,-1.328,-1.312,-26.2,-26
-3.7327e+00,-1.328,-1.336,-26.2,-26.4
-3.7250e+00,-1.328,-1.312,-26.2,-26
-3.7174e+00,-1.328,-1.336,-26.2,-26.4
-3.7097e+00,-1.328,-1.312,-26.2,-26
-3.7020e+00,-1.328,-1.336,-26.2,-26.4
-3.6943e+00,-1.328,-1.312,-26.2,-26
-3.6866e+00,-1.328,-1.336,-26.2,-26.4
-3.6790e+00,-1.328,-1.312,-26.2,-26
-3.6713e+00,-1.328,-1.336,-26.2,-26.4
-3.6636e+00,-1.328,-1.312,-26.2,-26
-3.6559e+00,-1.328,-1.336,-26.2,-26.4
-3.6482e+00,-1.328,-1.32,-26.2,-26
-3.6406e+00,-1.328,-1.336,-26.2,-26.4
-3.6329e+00,-1.328,-1.32,-26.2,-26
-3.6252e+00,-1.328,-1.336,-26.2,-26.4
-3.6175e+00,-1.328,-1.32,-26.2,-26
-3.6098e+00,-1.328,-1.336,-26.2,-26.4
-3.6022e+00,-1.328,-1.32,-26.2,-26
-3.5945e+00,-1.328,-1.336,-26.2,-26.4
-3.5868e+00,-1.328,-1.32,-26.2,-26
-3.5791e+00,-1.328,-1.336,-26.2,-26.4
-3.5714e+00,-1.328,-1.312,-26.2,-26
-3.5637e+00,-1.328,-1.344,-26.2,-26.4
-3.5561e+00,-1.328,-1.32,-26.2,-26
-3.5484e+00,-1.328,-1.344,-26.2,-26.4
-3.5407e+00,-1.328,-1.32,-26.2,-26
-3.5330e+00,-1.328,-1.344,-26.2,-26.4
-3.5253e+00,-1.328,-1.32,-26.2,-26
-3.5177e+00,-1.336,-1.344,-26.2,-26.4
-3.5100e+00,-1.336,-1.32,-26.2,-26
-3.5023e+00,-1.336,-1.344,-26.2,-26.4
-3.4946e+00,-1.336,-1.32,-26.2,-26
-3.4869e+00,-1.336,-1.344,-26.2,-26.4
-3.4793e+00,-1.336,-1.32,-26.2,-26
-3.4716e+00,-1.336,-1.344,-26.2,-26.6
-3.4639e+00,-1.336,-1.328,-26.4,-26
-3.4562e+00,-1.336,-1.344,-26.4,-26.6
-3.4485e+00,-1.336,-1.328,-26.4,-26.2
-3.4409e+00,-1.336,-1.344,-26.4,-26.6
-3.4332e+00,-1.336,-1.328,-26.4,-26.2
-3.4255e+00,-1.336,-1.352,-26.4,-26.6
-3.4178e+00,-1.336,-1.328,-26.4,-26.2
-3.4101e+00,-1.336,-1.344,-26.4,-26.6
-3.4025e+00,-1.336,-1.32,-26.4,-26.2
-3.3948e+00,-1.336,-1.352,-26.4,-26.6
-3.3871e+00,-1.336,-1.328,-26.4,-26.2
-3.3794e+00,-1.336,-1.352,-26.4,-26.6
-3.3717e+00,-1.336,-1.328,-26.4,-26.2
-3.3641e+00,-1.344,-1.352,-26.4,-26.6
-3.3564e+00,-1.344,-1.328,-26.4,-26.2
-3.3487e+00,-1.344,-1.352,-26.4,-26.6
-3.3410e+00,-1.344,-1.328,-26.4,-26.2
-3.3333e+00,-1.344,-1.352,-26.4,-26.6
-3.3257e+00,-1.344,-1.336,-26.4,-26.2
-3.3180e+00,-1.344,-1.352,-26.4,-26.6
-3.3103e+00,-1.344,-1.336,-26.4,-26.2
-3.3026e+00,-1.344,-1.352,-26.4,-26.6
-3.2949e+00,-1.344,-1.336,-26.4,-26.2
-3.2873e+00,-1.344,-1.352,-26.4,-26.6
-3.2796e+00,-1.344,-1.336,-26.4,-26.2
-3.2719e+00,-1.344,-1.352,-26.4,-26.6
-3.2642e+00,-1.344,-1.336,-26.4,-26.2
-3.2565e+00,-1.344,-1.36,-26.4,-26.6
-3.2488e+00,-1.344,-1.336,-26.4,-26.2
-3.2412e+00,-1.352,-1.36,-26.4,-26.6
-3.2335e+00,-1.352,-1.336,-26.4,-26.2
-3.2258e+00,-1.352,-1.36,-26.4,-26.6
-3.2181e+00,-1.352,-1.336,-26.4,-26.2
-3.2104e+00,-1.352,-1.36,-26.4,-26.6
-3.2028e+00,-1.352,-1.336,-26.4,-26.2
-3.1951e+00,-1.352,-1.36,-26.4,-26.6
-3.1874e+00,-1.352,-1.344,-26.4,-26.2
-3.1797e+00,-1.352,-1.36,-26.4,-26.6
-3.1720e+00,-1.352,-1.344,-26.4,-26.2
-3.1644e+00,-1.352,-1.36,-26.4,-26.6
-3.1567e+00,-1.352,-1.344,-26.4,-26.2
-3.1490e+00,-1.352,-1.36,-26.4,-26.6
-3.1413e+00,-1.352,-1.344,-26.4,-26.2
-3.1336e+00,-1.352,-1.368,-26.4,-26.6
-3.1260e+00,-1.36,-1.344,-26.4,-26.2
-3.1183e+00,-1.36,-1.368,-26.4,-26.6
-3.1106e+00,-1.36,-1.344,-26.4,-26.2
-3.1029e+00,-1.36,-1.368,-26.4,-26.6
-3.0952e+00,-1.36,-1.344,-26.6,-26.2
-3.0876e+00,-1.36,-1.368,-26.6,-26.6
-3.0799e+00,-1.36,-1.352,-26.6,-26.4
-3.0722e+00,-1.36,-1.368,-26.6,-26.6
-3.0645e+00,-1.36,-1.352,-26.6,-26.4
-3.0568e+00,-1.36,-1.368,-26.6,-26.8
-3.0492e+00,-1.36,-1.352,-26.6,-26.4
-3.0415e+00,-1.36,-1.376,-26.6,-26.8
-3.0338e+00,-1.36,-1.352,-26.6,-26.2
-3.0261e+00,-1.36,-1.376,-26.6,-26.8
